episode_return_mean,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11
seed_0,1.0000,0.9990,0.9482,0.9756,0.9229,0.9805,0.9521,0.7910,0.9678,0.9883,0.9795,0.9648
seed_1,0.9961,1.0000,0.9395,1.0000,0.9746,1.0000,0.9805,1.0000,1.0000,1.0000,0.9727,0.9766
seed_2,0.9463,0.9414,1.0000,0.9736,0.9922,0.9521,0.9922,0.9844,0.9697,1.0000,0.9883,1.0000
seed_3,0.9707,1.0000,0.9590,1.0000,0.9844,0.9805,0.9814,0.9863,1.0000,0.9443,0.9893,1.0000
seed_4,0.9502,0.9727,0.9893,0.9863,1.0000,0.9932,1.0000,0.9258,0.9385,0.9883,0.9648,0.9775
seed_5,0.9756,1.0000,0.9561,0.9756,0.9941,1.0000,0.9600,0.0000,0.9756,0.9941,0.9902,1.0000
seed_6,0.9717,0.9863,0.9912,0.9922,1.0000,0.9639,1.0000,0.2412,0.9512,0.9775,0.9863,0.9922
seed_7,0.7607,1.0000,0.9775,0.9824,0.9297,0.0000,0.2559,1.0000,0.0000,0.0000,0.0000,0.0000
seed_8,0.9668,1.0000,0.9639,1.0000,0.9541,0.9717,0.9346,0.0000,1.0000,1.0000,1.0000,0.9609
seed_9,0.9902,1.0000,1.0000,0.9551,0.9912,0.9902,0.9756,0.0000,1.0000,1.0000,0.9590,1.0000
seed_10,0.9883,0.9707,0.9941,0.9932,0.9678,0.9912,0.9873,0.0000,1.0000,0.9639,1.0000,1.0000
seed_11,0.9551,0.9775,1.0000,1.0000,0.9756,1.0000,0.9912,0.0000,0.9512,1.0000,1.0000,1.0000
