episode_return_mean,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,seed_17,seed_18,seed_19,seed_20,seed_21,seed_22,seed_23,seed_24,seed_25,seed_26,seed_27,seed_28,seed_29,seed_30,seed_31,seed_32,seed_33,seed_34,seed_35,seed_36,seed_37,seed_38,seed_39,seed_40,seed_41,seed_42,seed_43,seed_44,seed_45,seed_46,seed_47
seed_0,0.9297,0.7578,0.7852,0.9023,0.7734,0.8750,0.8633,0.8359,0.8242,0.7148,0.8203,0.7930,0.9141,0.8008,0.8594,0.7422,0.8477,0.7539,0.9492,0.8281,0.9570,0.8164,0.9688,0.7578,0.8516,0.9180,0.8125,0.8203,0.7969,0.8086,0.9453,0.9492,0.8125,0.9453,0.9062,0.8047,0.8203,0.8945,0.9609,0.8203,0.8047,0.8594,0.7617,0.8711,0.8008,0.7500,0.7891,0.7227
seed_1,0.7109,0.8242,0.8086,0.7852,0.8203,0.8555,0.8359,0.8281,0.8359,0.7812,0.8555,0.8320,0.7031,0.8516,0.8711,0.7461,0.8398,0.8516,0.7266,0.8516,0.7891,0.8320,0.7539,0.8086,0.8516,0.7812,0.8789,0.8125,0.8203,0.8750,0.7422,0.7969,0.8867,0.6914,0.7305,0.8320,0.8242,0.8672,0.7969,0.7852,0.8672,0.8086,0.8320,0.8555,0.8633,0.7656,0.8125,0.7266
seed_2,0.8438,0.8047,0.8555,0.8242,0.8320,0.8555,0.8125,0.8672,0.8086,0.7852,0.8281,0.8594,0.6992,0.8672,0.8359,0.7305,0.8359,0.8438,0.7500,0.8672,0.7422,0.8438,0.8281,0.8047,0.8555,0.7773,0.8750,0.8359,0.8594,0.8438,0.7539,0.8398,0.8438,0.7461,0.7812,0.8711,0.8047,0.8867,0.8555,0.8438,0.8672,0.8164,0.8633,0.8242,0.8359,0.7852,0.8008,0.7266
seed_3,0.9336,0.7891,0.7930,0.8867,0.7227,0.8125,0.8359,0.7734,0.7500,0.7930,0.8398,0.8203,0.8555,0.8203,0.7773,0.7305,0.8164,0.7617,0.9219,0.8711,0.9023,0.8242,0.9141,0.7656,0.8359,0.8945,0.8047,0.8086,0.7891,0.7852,0.8984,0.9062,0.7383,0.9102,0.8828,0.7305,0.8359,0.8555,0.9297,0.7969,0.8047,0.7930,0.7891,0.7734,0.8086,0.7188,0.7539,0.7305
seed_4,0.8320,0.8281,0.8281,0.7969,0.8281,0.9180,0.8711,0.8320,0.8594,0.8555,0.8633,0.8867,0.7266,0.8477,0.8789,0.8320,0.8984,0.8320,0.7930,0.8555,0.8203,0.8750,0.7969,0.8477,0.8555,0.8125,0.8711,0.8828,0.8672,0.8945,0.7617,0.8125,0.8867,0.8633,0.8164,0.8359,0.8711,0.8438,0.8086,0.8633,0.8672,0.8555,0.8438,0.8672,0.8828,0.7930,0.8203,0.7812
seed_5,0.8555,0.8867,0.8555,0.8359,0.8164,0.9258,0.8789,0.8750,0.8867,0.8789,0.9141,0.8828,0.7266,0.9062,0.8906,0.8086,0.9102,0.8672,0.8008,0.9023,0.8906,0.9102,0.8398,0.8984,0.8672,0.8516,0.9297,0.8516,0.8906,0.8945,0.7930,0.9023,0.9180,0.7812,0.8203,0.9258,0.8633,0.9219,0.8320,0.8633,0.8281,0.8398,0.8555,0.9062,0.9141,0.8164,0.8828,0.7578
seed_6,0.8242,0.8281,0.8086,0.7969,0.8789,0.8750,0.8281,0.8555,0.8516,0.7773,0.8789,0.8867,0.7305,0.9062,0.8672,0.8047,0.8477,0.8672,0.7656,0.8594,0.8359,0.8086,0.8789,0.8242,0.8750,0.7773,0.8281,0.8477,0.7969,0.8438,0.8398,0.8516,0.8555,0.7578,0.8125,0.8594,0.8438,0.8672,0.8711,0.7930,0.8125,0.8086,0.7891,0.8555,0.8359,0.8438,0.8281,0.7148
seed_7,0.8359,0.8555,0.8672,0.8281,0.8789,0.8945,0.8789,0.8672,0.8555,0.8281,0.8984,0.8828,0.7539,0.9180,0.9062,0.7773,0.9062,0.8984,0.8320,0.9023,0.8047,0.8125,0.8828,0.8438,0.8906,0.7969,0.9180,0.8594,0.7656,0.8945,0.8320,0.9141,0.8477,0.7344,0.7969,0.9023,0.8672,0.9141,0.8945,0.8281,0.8828,0.8359,0.8633,0.8984,0.8906,0.8516,0.8438,0.7539
seed_8,0.8242,0.8203,0.8633,0.7930,0.8359,0.8906,0.8398,0.8789,0.8672,0.8242,0.8906,0.8750,0.7070,0.8945,0.9141,0.7656,0.8906,0.8789,0.8047,0.8828,0.8047,0.8281,0.8438,0.8789,0.8828,0.7734,0.9062,0.8594,0.8164,0.8750,0.7656,0.8359,0.8828,0.7578,0.7734,0.8711,0.8477,0.8945,0.7891,0.8242,0.8320,0.8164,0.8672,0.8672,0.8594,0.7969,0.8516,0.7852
seed_9,0.8281,0.7773,0.8164,0.7734,0.8633,0.8594,0.7812,0.8008,0.8203,0.6992,0.8359,0.8359,0.6797,0.8438,0.8320,0.8203,0.7656,0.8789,0.7500,0.8789,0.8203,0.7930,0.8281,0.8398,0.8242,0.7812,0.8320,0.7930,0.7461,0.7734,0.8281,0.8164,0.8633,0.7969,0.7969,0.8320,0.8359,0.8125,0.8047,0.7344,0.8438,0.7773,0.8125,0.7930,0.8320,0.7539,0.7617,0.7422
seed_10,0.8281,0.8672,0.8516,0.7305,0.8398,0.9062,0.8789,0.8789,0.8711,0.8438,0.9023,0.8984,0.7383,0.8594,0.8945,0.7812,0.9375,0.8750,0.8281,0.8828,0.8086,0.8984,0.8750,0.8750,0.8906,0.8242,0.9180,0.8789,0.8906,0.8945,0.8320,0.8555,0.9023,0.8320,0.8477,0.9180,0.8633,0.9336,0.8320,0.8477,0.8516,0.8672,0.8984,0.8906,0.8789,0.8398,0.7969,0.8008
