episode_return_mean,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11
seed_0,0.8604,0.6816,0.7930,0.8115,0.8350,0.6934,0.5537,0.4385,0.4912,0.7803,0.6611,0.5557
seed_1,0.6729,0.7676,0.5518,0.6396,0.6592,0.8135,0.5586,0.5322,0.4609,0.6768,0.7031,0.8594
seed_2,0.7725,0.5508,0.6592,0.6182,0.7031,0.8770,0.3320,0.4082,0.5508,0.3613,0.2920,0.6904
seed_3,0.7959,0.6768,0.6416,0.7900,0.8135,0.7617,0.6758,0.5625,0.6348,0.6729,0.5938,0.7314
seed_4,0.8447,0.6797,0.6904,0.8066,0.8848,0.6221,0.6426,0.4639,0.5820,0.8125,0.7217,0.6299
seed_5,0.7031,0.7959,0.8564,0.7627,0.6240,0.8604,0.5615,0.7490,0.7178,0.6152,0.4482,0.8799
seed_6,0.5820,0.5332,0.3457,0.6680,0.6699,0.5928,0.8779,0.3311,0.3955,0.7490,0.8574,0.6162
seed_7,0.4512,0.5156,0.4023,0.5762,0.4658,0.7441,0.3350,0.5791,0.4824,0.5039,0.4346,0.7852
seed_8,0.4824,0.4902,0.5674,0.6162,0.5859,0.7344,0.4111,0.5039,0.4619,0.4014,0.3623,0.6914
seed_9,0.7920,0.6777,0.3369,0.6631,0.8193,0.6221,0.7510,0.5000,0.4219,0.8408,0.8750,0.5381
seed_10,0.6895,0.6660,0.3174,0.5938,0.7070,0.4463,0.8574,0.4043,0.3779,0.8789,0.9043,0.5820
seed_11,0.5742,0.8574,0.6660,0.7256,0.6445,0.8721,0.6436,0.8047,0.7012,0.5303,0.6006,0.8682
