episode_return_mean,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11
seed_0,0.2139,0.1982,0.2266,0.2129,0.1836,0.2070,0.1982,0.1914,0.1826,0.2031,0.2158,0.2031
seed_1,0.2168,0.1787,0.1992,0.1973,0.1953,0.2041,0.1748,0.1934,0.1895,0.1943,0.1982,0.1934
seed_2,0.1963,0.1875,0.1816,0.2021,0.2031,0.2188,0.1895,0.2031,0.2061,0.2070,0.2109,0.2363
seed_3,0.1973,0.1973,0.1992,0.1904,0.2119,0.1738,0.2207,0.2012,0.2002,0.2256,0.2197,0.2012
seed_4,0.1689,0.2236,0.2188,0.1943,0.1914,0.1787,0.1709,0.1934,0.2188,0.1875,0.2119,0.1943
seed_5,0.2090,0.1924,0.2021,0.2021,0.1816,0.1846,0.1992,0.2188,0.1865,0.2139,0.1797,0.2070
seed_6,0.2109,0.2002,0.1943,0.2021,0.2041,0.1904,0.2119,0.1846,0.2070,0.2031,0.2041,0.1875
seed_7,0.2119,0.2090,0.2090,0.2012,0.2246,0.2178,0.1982,0.1709,0.1846,0.1885,0.1904,0.1904
seed_8,0.2041,0.2100,0.1904,0.1973,0.1768,0.1934,0.1895,0.1973,0.1973,0.1924,0.2021,0.1816
seed_9,0.1982,0.2168,0.2236,0.1836,0.1699,0.1895,0.2002,0.1943,0.1924,0.1816,0.2090,0.1982
seed_10,0.2139,0.2285,0.2080,0.2100,0.2051,0.1943,0.1992,0.1953,0.2158,0.2021,0.1982,0.2207
seed_11,0.2002,0.2002,0.2031,0.2031,0.2051,0.2031,0.1807,0.2090,0.2041,0.1992,0.1924,0.2109
