condition,eval_mode,wandb_run_id,n_seeds,sp_mean,sp_se_ddof1,xp_allpairs_mean,xp_seed_jackknife_se,xp_disjoint_mean,xp_disjoint_se,n_disjoint_samples
IPPO_OP,greedy,8wozzr3k,12,131.822908,5.322712,118.256391,7.897558,116.790375,10.926659,6
HE_IPPO_0.05,greedy,5ge40bum,12,168.828133,9.300248,113.563562,5.714172,98.326825,20.983229,6
HE_IPPO_0.10,sampled,w7jma14h,12,173.398442,21.036822,89.772133,43.416105,112.701825,46.186084,6
HE_IPPO_0.15,greedy,k14899t3,12,208.588883,1.721866,142.587001,26.615173,120.592450,51.244780,6
HE_IPPO_0.15,sampled,49pvpj96,12,174.228517,3.838427,127.208368,16.111204,111.549492,30.926498,6
HE_IPPO_0.20,greedy,dkstpu3v,12,201.204442,5.687689,36.260652,28.078973,48.997400,56.535030,6
HE_IPPO_0.20,sampled,jnu30xls,12,151.679667,4.940381,35.402460,23.808035,48.847650,41.909330,6
MATE_1e-4,greedy,ubavqamp,12,143.020842,1.337922,127.475736,3.714768,132.734383,2.527455,6
MATE_3e-4,greedy,rfpfcl76,6,144.635417,4.139674,125.273433,2.690646,123.854167,10.629366,3
MATE_1e-3,greedy,yy66dnlt,6,158.203117,10.294781,100.429677,30.587585,108.320300,32.265419,3
