seed,s42,s43,s44,s45,s46,s47,s49,s50,s51,s52,s53,s123
s42,142.1875,118.2031,121.5625,132.5000,116.2500,114.6875,125.0000,126.4844,128.8281,135.8594,123.1250,120.4688
s43,138.8281,146.8750,67.7344,135.7031,141.8750,138.2812,109.9219,135.7812,133.3594,138.2031,106.1719,111.4062
s44,85.0000,106.2500,141.3281,129.6094,116.0938,130.2344,139.7656,145.9375,114.2969,122.0312,140.4688,128.5938
s45,144.9219,109.6875,132.5000,138.6719,139.0625,143.0469,143.2031,138.2031,134.3750,139.5312,140.0000,132.4219
s46,125.0000,102.5781,133.6719,140.0000,140.5469,142.7344,95.7812,136.7969,142.2656,143.4375,140.5469,119.7656
s47,140.7031,91.0938,122.0312,133.1250,106.7188,146.7188,134.4531,140.7812,134.5312,134.4531,139.5312,127.0312
s49,130.9375,74.2969,135.7031,95.0781,139.6094,133.4375,153.3594,146.7969,95.7812,122.3438,149.1406,118.5938
s50,80.3125,103.2031,139.4531,98.4375,134.0625,128.8281,121.6406,147.4219,88.6719,102.7344,144.6094,128.9844
s51,144.7656,112.3438,143.9844,135.3125,134.0625,149.6094,148.4375,144.8438,139.0625,148.0469,147.9688,131.0156
s52,143.8281,103.3594,115.3906,135.8594,134.6875,140.0781,137.1875,131.5625,137.2656,137.6562,141.3281,123.1250
s53,136.3281,106.6406,125.4688,126.7969,142.3438,137.1875,146.7188,142.4219,130.1562,134.0625,142.1875,130.0000
s123,97.5000,90.0781,141.1719,108.3594,131.7188,135.3125,141.4844,143.7500,125.0000,114.6094,140.4688,140.2344
